paese,isrc,uri,genres,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo
Belgio,NL4TG2400001,spotify:track:0uHrMbMv3c78398pIANDqR,['lustrum'],0.708,0.943,0.158,0.168,0.000604,0.5,160.091
Belgio,NLZ542301810,spotify:track:0h3Xy4V4apMraB5NuM8U7Z,[],0.875,0.518,0.0551,0.0638,0.00995,0.37,126.089
Belgio,GBCEN2300147,spotify:track:59NraMJsLaMCVtwXTSia8i,['hypertechno'],0.638,0.717,0.0375,0.001,1.79e-06,0.422,141.904
Belgio,USRC12301932,spotify:track:3rUGC1vUpkDG9CZFHMur1t,['pop'],0.75,0.733,0.0319,0.256,0,0.844,111.018
Belgio,NL9RM2300006,spotify:track:2hIFhSltVcRU1oJ3kf8Zy4,['lustrum'],0.84,0.856,0.112,0.215,0.00071,0.794,127.046
Belgio,USUM72212470,spotify:track:0mflMxspEfB0VbI1kyLiAv,['pov: indie'],0.662,0.488,0.0682,0.782,0,0.817,117.913
Belgio,USUM72403305,spotify:track:2qSkIjg1o9h3YT9RAgYN75,['pop'],0.701,0.771,0.0293,0.133,1.17e-05,0.661,103.982
Belgio,QZTB92360479,spotify:track:2uqYupMHANxnwgeiXTZXzd,['alt z'],0.756,0.672,0.0522,0.464,3.37e-06,0.739,114.935
Belgio,USUG12401040,spotify:track:4q5YezDOIPcoLr8R81x9qy,['pop'],0.7,0.763,0.0513,0.147,0,0.226,130.018
Belgio,USUM72317276,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,['pop'],0.645,0.663,0.0447,0.0657,3.18e-05,0.287,115.83
Belgio,USUG12401032,spotify:track:3Vevii7qKqrmW8CcyzBHDl,['pop'],0.472,0.536,0.263,0.734,0.00699,0.29,160.058
Belgio,FR9W12347222,spotify:track:3bK1zVFBKIzYjmptmI4NsJ,['pop dance'],0.611,0.757,0.03,0.00257,0,0.279,126.963
Belgio,GBARL2301712,spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt,"['belgian dance', 'belgian edm', 'big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",0.673,0.95,0.0488,0.0229,0.0823,0.563,150.019
Belgio,QZZ4J2400019,spotify:track:3lMzT16MjAKKXF7pSZn13B,['jersey club'],0.866,0.741,0.245,0.0933,0,0.614,135.07
Belgio,GBAHT2301078,spotify:track:6Qb7YsAqH4wWFUMbGsCpap,"['dance pop', 'pop', 'uk pop']",0.815,0.582,0.0532,0.0365,1.45e-06,0.671,123.03
Bielorussia,RUAGV2401222,spotify:track:527D034h8WFtVDOBO6GAN5,"['russian hip hop', 'russian trap']",0.765,0.675,0.0298,0.00599,9.95e-05,0.735,120.034
Bielorussia,RUACR2400100,spotify:track:2PXxdh7WHZAlONZW8P3H2h,[],0.861,0.441,0.18,0.108,0,0.693,130.069
Bielorussia,TCAGG2298960,spotify:track:4CvrZAA0I1rG4tlvwYydi4,['belarusian indie'],0.8,0.753,0.0362,0.353,0.75,0.63,126.977
Bielorussia,RUA1D2416019,spotify:track:1Mm9DXmUXT2xiCQAZPEEaK,[],0.826,0.627,0.0339,0.103,0,0.864,131.0
Bielorussia,FRX282412763,spotify:track:4YxRxVKi7IYUOR5p7nsYcp,"['russian drain', 'russian hip hop', 'russian trap']",0.744,0.821,0.0645,0.0232,0,0.828,145.951
Bielorussia,RUA1D2410577,spotify:track:05wSx129HwVCEpXpjAXn6X,"['russian hip hop', 'russian rave']",0.695,0.813,0.0325,0.0456,0,0.629,99.996
Bielorussia,USA2P2339030,spotify:track:2N0SPREDYqILVEFSsWF5N5,"['j-division', 'korean ost']",0.633,0.607,0.0532,0.183,1.38e-06,0.363,74.029
Bielorussia,DGA052355355,spotify:track:74JfQsOBIs7z4y6jDrbDmh,['russian hip hop'],0.814,0.738,0.283,0.0855,0,0.507,152.112
Bielorussia,QZMZ92405962,spotify:track:5ktnJaccf1XbHRws28PlyK,[],0.74,0.519,0.0584,0.000416,0.00617,0.396,102.663
Bielorussia,RUAGW2300175,spotify:track:11gTRcdz4wK32fghA2vrX7,['russian hip hop'],0.788,0.544,0.324,0.141,0,0.411,75.474
Bielorussia,RUA1D2438907,spotify:track:0lEQFpuJSpREmNlc2h3PA2,[],0.758,0.707,0.0526,0.223,0,0.564,93.947
Bielorussia,QZMZ92405961,spotify:track:4YfWMQ0M3FYOh71etUTmO7,[],0.598,0.415,0.133,0.00377,0.00223,0.398,172.349
Bielorussia,RUA1D2375339,spotify:track:6HVQNzaVnJdreqdaezdD39,[],0.373,0.783,0.0423,0.0584,0,0.0641,141.886
Bielorussia,RUA1D2436552,spotify:track:62XPynwhhzYp7A0Q51MmYT,[],0.943,0.662,0.327,0.162,2.16e-05,0.906,124.067
Bielorussia,TCAHE2363357,spotify:track:1Za23uNH9LP4gcflnvAGCE,[],0.912,0.878,0.343,0.0565,0.000222,0.677,134.951
Bielorussia,USA2P2411822,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,"['j-division', 'korean ost']",0.466,0.601,0.053,0.0315,0,0.627,53.376
Bielorussia,FRX282412778,spotify:track:3PBY7potBfbBcruV1svC2g,"['russian drain', 'russian hip hop', 'russian trap']",0.719,0.628,0.0446,0.0447,6.16e-05,0.28,152.01
Bielorussia,FRX762249174,spotify:track:6bCLkzoE3agC7Ws9NxVxIn,"['russian gangster rap', 'russian hip hop']",0.769,0.31,0.372,0.872,0,0.71,77.994
Bielorussia,FR2X41933403,spotify:track:6sp8FsxehQt23pATaY9Gt5,['russian gangster rap'],0.765,0.684,0.139,0.258,0,0.57,129.787
Bielorussia,RUA1D2438908,spotify:track:2T41OZDWpiz5LTjyP6gZrX,[],0.79,0.742,0.0637,0.208,0,0.7,103.349
Bielorussia,QZZ4J2400085,spotify:track:499mGaGmtP9U1MPGVeUOIV,"['krushclub', 'scenecore']",0.475,0.983,0.198,0.0145,0,0.478,139.966
Bielorussia,DGA072276281,spotify:track:3WIWqQMBUBQgmJERv3xTMV,['russian hip hop'],0.782,0.644,0.115,0.00676,0,0.774,120.03
Bielorussia,TCABR1318593,spotify:track:2m3PVx1gsVB5upxi94IW8I,"['belarusian hip hop', 'russian hip hop']",0.762,0.822,0.137,0.011,0,0.565,127.054
Bielorussia,FR2X41540171,spotify:track:1P9oRiZJWnxe2pZmYUZ5eC,"['central asian hip hop', 'kazakh hip hop', 'russian hip hop', 'russian trap']",0.358,0.416,0.0596,0.325,0.356,0.128,139.945
Bielorussia,FR96X1949083,spotify:track:7biChppM3c8q7qcVl7ceb2,"['kavkaz', 'russian emo rap', 'russian grime', 'russian hip hop', 'russian trap']",0.866,0.722,0.143,0.213,0,0.912,137.969
Bolivia,USWL12400226,spotify:track:4wS0TnQzVkY9ML1BPKpOk1,"['trap argentino', 'trap latino', 'urbano latino']",0.646,0.907,0.0593,0.422,0,0.816,168.004
Bolivia,QZL382406049,spotify:track:6XjDF6nds4DE2BBbagZol6,['reggaeton chileno'],0.791,0.499,0.0509,0.446,2.41e-05,0.669,99.986
Bolivia,BK4DA2410627,spotify:track:3GD6eImRvT0zgr8cQnokUq,"['argentine hip hop', 'trap argentino', 'trap triste']",0.731,2.01e-05,0.765,0.764,0,0.262,130.972
Bolivia,USUM72318216,spotify:track:7bywjHOc0wSjGGbj04XbVi,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.774,0.86,0.13,0.131,0,0.446,100.019
Bolivia,USSD12400112,spotify:track:5bi0gh89wRuH2OgjdAKFsb,"['reggaeton', 'trap latino', 'urbano latino']",0.725,0.709,0.129,0.321,0.000189,0.648,99.993
Bolivia,QZXD92300025,spotify:track:7s4emXHJwAuo5VvGBXmnBL,"['trap latino', 'urbano latino']",0.794,0.729,0.111,0.181,0,0.54,92.967
Bolivia,CLPP22300118,spotify:track:7JKptWv4YXmievid0HajID,"['trap argentino', 'trap triste']",0.482,0.792,0.0859,0.182,0,0.572,154.932
Bolivia,UYS642300003,spotify:track:1kqH58eGh2ZTOHwqBIB2tM,['rap uruguayo'],0.76,0.703,0.0631,0.313,0,0.739,96.033
Bolivia,USSD12300400,spotify:track:4bw8mcDUSRWfQo63ZTYRnU,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.909,0.762,0.0643,0.434,0,0.843,101.987
Bolivia,USWL12302952,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,"['reggaeton', 'trap latino', 'urbano latino']",0.8,0.738,0.0691,0.372,0.00877,0.267,103.008
Bolivia,USUG12305257,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.841,0.738,0.307,0.52,0,0.484,169.918
Bolivia,QMFME2364199,spotify:track:7iQXYTyuG13aoeHxGG28Nh,"['reggaeton', 'trap latino', 'urbano latino']",0.911,0.778,0.262,0.0887,2.16e-05,0.345,96.057
Bolivia,USB271010155,spotify:track:3KZCP2StVGdWkOKyRZNWA4,"['reggaeton', 'trap latino', 'urbano latino']",0.841,0.774,0.0421,0.117,2.66e-06,0.494,95.006
Bolivia,USA2P2357356,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,['sad sierreno'],0.751,0.819,0.0409,0.255,0,0.697,131.842
Bolivia,NLE3U2400002,spotify:track:5oYVxFt2k4SkVp6wzVsFWN,"['alternative r&b', 'art pop', 'escape room', 'persian electronic']",0.776,0.743,0.0541,0.0646,0.000215,0.575,140.029
Bolivia,ARP7V2300002,spotify:track:3tiJUOfAEqIrLFRQgGgdoY,['trap argentino'],0.499,0.519,0.0595,0.109,0,0.848,192.147
Bolivia,QZJ842400387,spotify:track:2GxrNKugF82CnoRFbQfzPf,[],0.599,0.946,0.0447,0.000938,0.0106,0.747,151.647
