paese,isrc,uri,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo;;;;;;;;;;;;;;;;;,all_genres
Austria,USUG12401042,spotify:track:1dhMTsEZz6ZEquGvmzVoHn,0.639,0.439,0.0288,0.437,0.0,0.376,100.083;;;;;;;;;;;;;;;;;,pop
"Austria,GBKPL2205058,spotify:track:3qhlB30KknSejmIvZZLjOD,""['pov: indie', 'psychedelic pop']"",0.689,0.454,0.0584,0.0351,0.00259,0.912,159.982;;;;;;;;;;;;;;;;;",,,,,,,,,,
Austria,USUG12401043,spotify:track:1UlhrRvYzbHEyugEDspXUB,0.675,0.328,0.0264,0.644,0.00149,0.249,104.021;;;;;;;;;;;;;;;;;,pop
Belgio,USUG12401028,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,0.675,0.397,0.0245,0.499,5.85e-06,0.319,95.988;;;;;;;;;;;;;;;;;,pop
Belgio,QZJ842400387,spotify:track:2GxrNKugF82CnoRFbQfzPf,0.599,0.946,0.0447,0.000938,0.0106,0.747,151.647;;;;;;;;;;;;;;;;;,
Belgio,USWB12307016,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,0.472,0.471,0.0603,0.151,0.0,0.219,105.029;;;;;;;;;;;;;;;;;,singer-songwriter pop
Belgio,USUG12401029,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,0.595,0.421,0.0261,0.0518,1.56e-06,0.261,110.305;;;;;;;;;;;;;;;;;,pop
Belgio,USUG12401030,spotify:track:05msZuGKP3OCUGQnvLBOf4,0.593,0.582,0.0285,0.165,0.0,0.436,97.079;;;;;;;;;;;;;;;;;,pop
Belgio,USUG12401032,spotify:track:0mWVScJbxO3tbXuiZOxYZE,0.488,0.545,0.317,0.73,0.0046,0.301,160.096;;;;;;;;;;;;;;;;;,pop
Belgio,USUG12401031,spotify:track:2F3N9tdombb64aW6VtZOdo,0.546,0.36,0.0774,0.554,0.0,0.181,159.755;;;;;;;;;;;;;;;;;,pop
Belgio,USUG12401033,spotify:track:5og4Qzt92jJzVDkOtSEilb,0.414,0.716,0.134,0.388,0.0,0.448,79.274;;;;;;;;;;;;;;;;;,pop
Belgio,QZL382406049,spotify:track:6XjDF6nds4DE2BBbagZol6,0.791,0.499,0.0509,0.446,2.41e-05,0.669,99.986;;;;;;;;;;;;;;;;;,reggaeton chileno
Belgio,USUG12401035,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,0.524,0.568,0.143,0.204,0.0,0.42,150.044;;;;;;;;;;;;;;;;;,pop
Belgio,DEE862400427,spotify:track:48lxT5qJF0yYyf2z4wB4xW,0.788,0.936,0.301,0.0229,1.3e-06,0.844,151.019;;;;;;;;;;;;;;;;;,
Belgio,USUG12401040,spotify:track:4q5YezDOIPcoLr8R81x9qy,0.7,0.763,0.0513,0.147,0.0,0.226,130.018;;;;;;;;;;;;;;;;;,pop
"Belgio,USSM12401302,spotify:track:7wLShogStyDeZvL0a6daN5,""['pop', 'r&b']"",0.727,0.711,0.078,0.582,0,0.375,110.012;;;;;;;;;;;;;;;;;",,,,,,,,,,
Belgio,USUG12401037,spotify:track:36t6frENUtCYKuZus6aYDO,0.592,0.37,0.0495,0.307,0.0,0.249,119.87;;;;;;;;;;;;;;;;;,pop
